team1,team2,match_date,toss_winner,toss_decision,winner,player_of_match,venue,city,team1_players,team2_players,season,match_number,match_type,result,result_margin,target_runs,target_overs,super_over
Deccan Chargers,Delhi Daredevils,2012-05-10,Deccan Chargers,bat,Delhi Daredevils,DA Warner,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"DJ Harris, S Dhawan, KC Sangakkara, CL White, JP Duminy, PA Patel, Ankit Sharma, A Ashish Reddy, A Mishra, MS Gony, TP Sudhindra","V Sehwag, DA Warner, NV Ojha, DPMD Jayawardene, Y Nagar, AD Russell, Y Venugopal Rao, IK Pathan, M Morkel, S Nadeem, VR Aaron",5,54,League,wickets,4.0,127.0,20.0,N
Pune Warriors,Royal Challengers Bangalore,2012-05-11,Pune Warriors,field,Royal Challengers Bangalore,CH Gayle,Subrata Roy Sahara Stadium,Pune,"MD Mishra, MJ Clarke, MK Pandey, RV Uthappa, AP Majumdar, AD Mathews, SPD Smith, B Kumar, AC Thomas, R Sharma, K Upadhyay","CH Gayle, TM Dilshan, V Kohli, SS Tiwary, AB de Villiers, MA Agarwal, R Vinay Kumar, Z Khan, HV Patel, M Muralitharan, KP Appanna",5,55,League,runs,35.0,174.0,20.0,N
Chennai Super Kings,Delhi Daredevils,2012-05-12,Chennai Super Kings,field,Chennai Super Kings,BW Hilfenhaus,"MA Chidambaram Stadium, Chepauk",Chennai,"MEK Hussey, M Vijay, SK Raina, MS Dhoni, RA Jadeja, S Anirudha, DJ Bravo, JA Morkel, R Ashwin, BW Hilfenhaus, SB Jakati","DA Warner, V Sehwag, NV Ojha, DPMD Jayawardene, Y Venugopal Rao, Y Nagar, IK Pathan, RE van der Merwe, M Morkel, VR Aaron, UT Yadav",5,56,League,runs,27.0,183.0,20.0,N
Kolkata Knight Riders,Mumbai Indians,2012-05-12,Mumbai Indians,bat,Mumbai Indians,RG Sharma,Eden Gardens,Kolkata,"MS Bisla, G Gambhir, JH Kallis, MK Tiwary, YK Pathan, DB Das, Shakib Al Hasan, LR Shukla, R Bhatia, B Lee, SP Narine","HH Gibbs, SR Tendulkar, RG Sharma, KD Karthik, AT Rayudu, DR Smith, KA Pollard, Harbhajan Singh, SL Malinga, PP Ojha, MM Patel",5,57,League,wickets,9.0,115.0,20.0,N
Rajasthan Royals,Pune Warriors,2012-05-13,Rajasthan Royals,bat,Rajasthan Royals,A Chandila,Sawai Mansingh Stadium,Jaipur,"R Dravid, AM Rahane, SR Watson, BJ Hodge, STR Binny, J Botha, SP Goswami, AL Menaria, SW Tait, SK Trivedi, A Chandila","SC Ganguly, JD Ryder, RV Uthappa, AP Majumdar, CJ Ferguson, SPD Smith, AD Mathews, B Kumar, M Kartik, R Sharma, A Nehra",5,58,League,runs,45.0,171.0,20.0,N
Kings XI Punjab,Deccan Chargers,2012-05-13,Deccan Chargers,bat,Kings XI Punjab,DJ Hussey,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"N Saini, Mandeep Singh, SE Marsh, Azhar Mahmood, DJ Hussey, SD Chitnis, PP Chawla, Gurkeerat Singh, P Kumar, P Awana, RJ Harris","S Dhawan, PA Patel, KC Sangakkara, CL White, DT Christian, PA Reddy, AA Jhunjhunwala, A Mishra, DW Steyn, MS Gony, TP Sudhindra",5,59,League,wickets,4.0,191.0,20.0,N
Kolkata Knight Riders,Chennai Super Kings,2012-05-14,Chennai Super Kings,field,Chennai Super Kings,MEK Hussey,Eden Gardens,Kolkata,"G Gambhir, BB McCullum, JH Kallis, MK Tiwary, YK Pathan, DB Das, LR Shukla, R Bhatia, SP Narine, L Balaji, M de Lange","MEK Hussey, M Vijay, SK Raina, F du Plessis, MS Dhoni, DJ Bravo, RA Jadeja, S Anirudha, R Ashwin, BW Hilfenhaus, SB Jakati",5,60,League,wickets,5.0,172.0,20.0,N
Royal Challengers Bangalore,Mumbai Indians,2012-05-14,Mumbai Indians,field,Mumbai Indians,AT Rayudu,M Chinnaswamy Stadium,Bangalore,"CH Gayle, TM Dilshan, V Kohli, SS Tiwary, AB de Villiers, MA Agarwal, R Vinay Kumar, Z Khan, HV Patel, M Muralitharan, KP Appanna","HH Gibbs, SR Tendulkar, RG Sharma, KD Karthik, AT Rayudu, DR Smith, KA Pollard, Harbhajan Singh, SL Malinga, RP Singh, MM Patel",5,61,League,wickets,5.0,159.0,20.0,N
Delhi Daredevils,Kings XI Punjab,2012-05-15,Kings XI Punjab,bat,Delhi Daredevils,UT Yadav,Feroz Shah Kotla,Delhi,"DA Warner, V Sehwag, Y Venugopal Rao, DPMD Jayawardene, LRPL Taylor, NV Ojha, IK Pathan, P Negi, M Morkel, VR Aaron, UT Yadav","Mandeep Singh, SE Marsh, N Saini, DJ Hussey, DA Miller, Azhar Mahmood, Gurkeerat Singh, PP Chawla, P Kumar, P Awana, Harmeet Singh",5,62,League,wickets,5.0,137.0,20.0,N
Mumbai Indians,Kolkata Knight Riders,2012-05-16,Mumbai Indians,field,Kolkata Knight Riders,SP Narine,Wankhede Stadium,Mumbai,"HH Gibbs, SR Tendulkar, KD Karthik, RG Sharma, AT Rayudu, KA Pollard, DR Smith, Harbhajan Singh, SL Malinga, RP Singh, MM Patel","G Gambhir, BB McCullum, JH Kallis, MK Tiwary, Shakib Al Hasan, YK Pathan, DB Das, R Bhatia, SP Narine, L Balaji, Iqbal Abdulla",5,63,League,runs,32.0,141.0,20.0,N
Delhi Daredevils,Royal Challengers Bangalore,2012-05-17,Delhi Daredevils,field,Royal Challengers Bangalore,CH Gayle,Feroz Shah Kotla,Delhi,"UBT Chand, DA Warner, Y Venugopal Rao, DPMD Jayawardene, LRPL Taylor, NV Ojha, AD Russell, IK Pathan, P Negi, UT Yadav, VR Aaron","CH Gayle, TM Dilshan, V Kohli, AB de Villiers, SS Tiwary, MA Agarwal, R Vinay Kumar, Z Khan, HV Patel, P Parameswaran, M Muralitharan",5,64,League,wickets,6.0,121.0,20.0,N
Kings XI Punjab,Chennai Super Kings,2012-05-17,Kings XI Punjab,field,Kings XI Punjab,AC Gilchrist,Himachal Pradesh Cricket Association Stadium,Dharamsala,"AC Gilchrist, Mandeep Singh, N Saini, DJ Hussey, SD Chitnis, Azhar Mahmood, Gurkeerat Singh, PP Chawla, RJ Harris, P Kumar, P Awana","M Vijay, MEK Hussey, SK Raina, MS Dhoni, DJ Bravo, RA Jadeja, JA Morkel, S Anirudha, R Ashwin, BW Hilfenhaus, VY Mahesh",5,65,League,runs,21.0,216.0,20.0,N
Deccan Chargers,Rajasthan Royals,2012-05-18,Rajasthan Royals,bat,Deccan Chargers,DW Steyn,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"PA Reddy, S Dhawan, JP Duminy, CL White, CA Lynn, PA Patel, A Ashish Reddy, A Mishra, DW Steyn, MS Gony, V Pratap Singh","R Dravid, AM Rahane, SR Watson, STR Binny, OA Shah, AL Menaria, J Botha, SP Goswami, A Chandila, SW Tait, SK Trivedi",5,66,League,wickets,5.0,127.0,20.0,N
Kings XI Punjab,Delhi Daredevils,2012-05-19,Delhi Daredevils,field,Delhi Daredevils,UT Yadav,Himachal Pradesh Cricket Association Stadium,Dharamsala,"AC Gilchrist, Mandeep Singh, PC Valthaty, DJ Hussey, SD Chitnis, Azhar Mahmood, Gurkeerat Singh, PP Chawla, RJ Harris, P Kumar, P Awana","UBT Chand, DA Warner, Y Venugopal Rao, IK Pathan, DPMD Jayawardene, NV Ojha, AD Russell, P Negi, VR Aaron, M Morkel, UT Yadav",5,67,League,wickets,6.0,142.0,20.0,N
Pune Warriors,Kolkata Knight Riders,2012-05-19,Kolkata Knight Riders,bat,Kolkata Knight Riders,Shakib Al Hasan,Subrata Roy Sahara Stadium,Pune,"RV Uthappa, JD Ryder, MJ Clarke, SC Ganguly, AP Majumdar, CJ Ferguson, Harpreet Singh, WD Parnell, B Kumar, AG Murtaza, A Nehra","BB McCullum, G Gambhir, JH Kallis, Shakib Al Hasan, MK Tiwary, YK Pathan, DB Das, R Bhatia, Iqbal Abdulla, SP Narine, L Balaji",5,68,League,runs,34.0,137.0,20.0,N
Rajasthan Royals,Mumbai Indians,2012-05-20,Rajasthan Royals,bat,Mumbai Indians,DR Smith,Sawai Mansingh Stadium,Jaipur,"R Dravid, AM Rahane, SR Watson, STR Binny, OA Shah, AL Menaria, DH Yagnik, GB Hogg, SW Tait, SK Trivedi, A Chandila","SR Tendulkar, DR Smith, RG Sharma, KD Karthik, JEC Franklin, AT Rayudu, KA Pollard, Harbhajan Singh, SL Malinga, RP Singh, DS Kulkarni",5,69,League,runs,9.0,133.0,20.0,N
Deccan Chargers,Royal Challengers Bangalore,2012-05-20,Royal Challengers Bangalore,field,Deccan Chargers,DW Steyn,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"S Dhawan, PA Reddy, KC Sangakkara, CL White, JP Duminy, PA Patel, A Ashish Reddy, DW Steyn, A Mishra, MS Gony, V Pratap Singh","CH Gayle, TM Dilshan, V Kohli, SS Tiwary, AB de Villiers, MA Agarwal, Z Khan, R Vinay Kumar, HV Patel, M Muralitharan, P Parameswaran",5,70,League,wickets,10.0,163.0,20.0,N
Delhi Daredevils,Kolkata Knight Riders,2012-05-22,Kolkata Knight Riders,bat,Kolkata Knight Riders,YK Pathan,Subrata Roy Sahara Stadium,Pune,"DA Warner, V Sehwag, NV Ojha, DPMD Jayawardene, Y Venugopal Rao, P Negi, LRPL Taylor, IK Pathan, M Morkel, UT Yadav, VR Aaron","BB McCullum, G Gambhir, JH Kallis, Shakib Al Hasan, YK Pathan, LR Shukla, DB Das, R Bhatia, Iqbal Abdulla, SP Narine, L Balaji",5,71,Qualifier 1,runs,18.0,163.0,20.0,N
Chennai Super Kings,Mumbai Indians,2012-05-23,Mumbai Indians,field,Chennai Super Kings,MS Dhoni,M Chinnaswamy Stadium,Bangalore,"M Vijay, MEK Hussey, SK Raina, S Badrinath, MS Dhoni, RA Jadeja, DJ Bravo, JA Morkel, R Ashwin, BW Hilfenhaus, SB Jakati","SR Tendulkar, DR Smith, RG Sharma, KD Karthik, JEC Franklin, AT Rayudu, KA Pollard, Harbhajan Singh, SL Malinga, DS Kulkarni, RP Singh",5,72,Elimination Final,runs,38.0,188.0,20.0,N
Delhi Daredevils,Chennai Super Kings,2012-05-25,Delhi Daredevils,field,Chennai Super Kings,M Vijay,"MA Chidambaram Stadium, Chepauk",Chennai,"DPMD Jayawardene, DA Warner, V Sehwag, LRPL Taylor, AD Russell, NV Ojha, Y Venugopal Rao, P Negi, Sunny Gupta, UT Yadav, VR Aaron","M Vijay, MEK Hussey, SK Raina, MS Dhoni, JA Morkel, DJ Bravo, RA Jadeja, R Ashwin, BW Hilfenhaus, SB Jakati, S Badrinath",5,73,Qualifier 2,runs,86.0,223.0,20.0,N
Kolkata Knight Riders,Chennai Super Kings,2012-05-27,Chennai Super Kings,bat,Kolkata Knight Riders,MS Bisla,"MA Chidambaram Stadium, Chepauk",Chennai,"MS Bisla, G Gambhir, JH Kallis, LR Shukla, YK Pathan, Shakib Al Hasan, MK Tiwary, R Bhatia, Iqbal Abdulla, SP Narine, B Lee","MEK Hussey, M Vijay, SK Raina, MS Dhoni, DJ Bravo, RA Jadeja, JA Morkel, R Ashwin, BW Hilfenhaus, SB Jakati, S Badrinath",5,74,Final,wickets,5.0,191.0,20.0,N
Kolkata Knight Riders,Delhi Daredevils,2013-04-03,Kolkata Knight Riders,field,Kolkata Knight Riders,SP Narine,Eden Gardens,Kolkata,"MS Bisla, G Gambhir, JH Kallis, MK Tiwary, EJG Morgan, YK Pathan, LR Shukla, R Bhatia, B Lee, SP Narine, L Balaji","UBT Chand, DA Warner, DPMD Jayawardene, MC Juneja, NV Ojha, J Botha, IK Pathan, AD Russell, S Nadeem, A Nehra, UT Yadav",6,1,League,wickets,6.0,129.0,20.0,N
Royal Challengers Bangalore,Mumbai Indians,2013-04-04,Mumbai Indians,field,Royal Challengers Bangalore,CH Gayle,M Chinnaswamy Stadium,Bangalore,"CH Gayle, TM Dilshan, V Kohli, MA Agarwal, DT Christian, KK Nair, KB Arun Karthik, R Vinay Kumar, M Kartik, JD Unadkat, M Muralitharan","RT Ponting, SR Tendulkar, KD Karthik, RG Sharma, AT Rayudu, KA Pollard, Harbhajan Singh, JJ Bumrah, MG Johnson, JDP Oram, MM Patel",6,2,League,runs,2.0,157.0,20.0,N
Sunrisers Hyderabad,Pune Warriors,2013-04-05,Pune Warriors,field,Sunrisers Hyderabad,A Mishra,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"PA Reddy, PA Patel, KC Sangakkara, CL White, NLTC Perera, GH Vihari, A Ashish Reddy, DB Ravi Teja, A Mishra, DW Steyn, I Sharma","RV Uthappa, MK Pandey, MN Samuels, Yuvraj Singh, LRPL Taylor, AM Nayar, AD Mathews, MR Marsh, B Kumar, R Sharma, AB Dinda",6,3,League,runs,22.0,127.0,20.0,N
Chennai Super Kings,Mumbai Indians,2013-04-06,Mumbai Indians,bat,Mumbai Indians,KA Pollard,"MA Chidambaram Stadium, Chepauk",Chennai,"MEK Hussey, M Vijay, SK Raina, DJ Bravo, S Badrinath, MS Dhoni, RA Jadeja, R Ashwin, B Laughlin, AS Rajpoot, DP Nannes","RT Ponting, SR Tendulkar, KD Karthik, RG Sharma, AT Rayudu, KA Pollard, DR Smith, Harbhajan Singh, MG Johnson, MM Patel, PP Ojha",6,4,League,runs,5.0,166.0,20.0,N
Delhi Daredevils,Rajasthan Royals,2013-04-06,Rajasthan Royals,bat,Rajasthan Royals,R Dravid,Feroz Shah Kotla,Delhi,"DA Warner, UBT Chand, DPMD Jayawardene, MC Juneja, AD Russell, J Botha, IK Pathan, NV Ojha, A Nehra, S Nadeem, UT Yadav","MDKJ Perera, AM Rahane, R Dravid, STR Binny, BJ Hodge, KK Cooper, AL Menaria, S Sreesanth, R Shukla, SK Trivedi, S Badree",6,5,League,runs,9.0,149.0,20.0,N
Sunrisers Hyderabad,Royal Challengers Bangalore,2013-04-07,Royal Challengers Bangalore,bat,,GH Vihari,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"PA Reddy, PA Patel, CL White, GH Vihari, KC Sangakkara, NLTC Perera, A Mishra, A Ashish Reddy, DW Steyn, Ankit Sharma, I Sharma","CH Gayle, TM Dilshan, V Kohli, KK Nair, MC Henriques, MA Agarwal, KB Arun Karthik, R Vinay Kumar, M Kartik, JD Unadkat, M Muralitharan",6,6,League,wickets,8.0,100.0,20.0,N
Pune Warriors,Kings XI Punjab,2013-04-07,Pune Warriors,bat,Kings XI Punjab,M Vohra,Subrata Roy Sahara Stadium,Pune,"RV Uthappa, MK Pandey, TL Suman, MN Samuels, LRPL Taylor, AD Mathews, AM Nayar, MR Marsh, B Kumar, R Sharma, AB Dinda","AC Gilchrist, Mandeep Singh, M Vohra, DJ Hussey, Azhar Mahmood, Gurkeerat Singh, R Sathish, PP Chawla, P Awana, P Kumar, RJ Harris",6,7,League,tie,,131.0,20.0,Y
Rajasthan Royals,Kolkata Knight Riders,2013-04-08,Kolkata Knight Riders,field,Rajasthan Royals,SK Trivedi,Sawai Mansingh Stadium,Jaipur,"SR Watson, AM Rahane, R Dravid, STR Binny, BJ Hodge, KK Cooper, DH Yagnik, S Sreesanth, SK Trivedi, SW Tait, R Shukla","MS Bisla, G Gambhir, JH Kallis, MK Tiwary, EJG Morgan, YK Pathan, LR Shukla, R Bhatia, B Lee, Mohammed Shami, SP Narine",6,8,League,runs,19.0,145.0,20.0,N
Mumbai Indians,Delhi Daredevils,2013-04-09,Mumbai Indians,bat,Mumbai Indians,KD Karthik,Wankhede Stadium,Mumbai,"RT Ponting, SR Tendulkar, KD Karthik, RG Sharma, KA Pollard, AT Rayudu, Harbhajan Singh, R Dhawan, MG Johnson, PP Ojha, SL Malinga","UBT Chand, DA Warner, DPMD Jayawardene, MC Juneja, BMAJ Mendis, IK Pathan, KM Jadhav, S Nadeem, M Morkel, A Nehra, UT Yadav",6,9,League,runs,44.0,210.0,20.0,N
Royal Challengers Bangalore,Sunrisers Hyderabad,2013-04-09,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,V Kohli,M Chinnaswamy Stadium,Bangalore,"MA Agarwal, CH Gayle, V Kohli, AB de Villiers, MC Henriques, KB Arun Karthik, R Vinay Kumar, M Kartik, JD Unadkat, RP Singh, M Muralitharan","PA Reddy, PA Patel, KC Sangakkara, CL White, NLTC Perera, A Ashish Reddy, GH Vihari, BB Samantray, A Mishra, DW Steyn, I Sharma",6,10,League,wickets,7.0,162.0,20.0,N
Kings XI Punjab,Chennai Super Kings,2013-04-10,Chennai Super Kings,field,Chennai Super Kings,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"Mandeep Singh, AC Gilchrist, M Vohra, DJ Hussey, Gurkeerat Singh, Azhar Mahmood, R Sathish, PP Chawla, RJ Harris, P Kumar, P Awana","M Vijay, MEK Hussey, SK Raina, S Badrinath, MS Dhoni, RA Jadeja, DJ Bravo, R Ashwin, DP Nannes, CH Morris, AS Rajpoot",6,11,League,wickets,10.0,139.0,20.0,N
Royal Challengers Bangalore,Kolkata Knight Riders,2013-04-11,Royal Challengers Bangalore,field,Royal Challengers Bangalore,CH Gayle,M Chinnaswamy Stadium,Bangalore,"CH Gayle, MA Agarwal, V Kohli, AB de Villiers, MC Henriques, KB Arun Karthik, KL Rahul, R Vinay Kumar, RP Singh, JD Unadkat, M Muralitharan","MS Bisla, G Gambhir, JH Kallis, YK Pathan, MK Tiwary, EJG Morgan, R Bhatia, R McLaren, PJ Sangwan, SP Narine, L Balaji",6,12,League,wickets,8.0,155.0,20.0,N
Pune Warriors,Rajasthan Royals,2013-04-11,Rajasthan Royals,bat,Pune Warriors,AJ Finch,Subrata Roy Sahara Stadium,Pune,"RV Uthappa, AJ Finch, LRPL Taylor, Yuvraj Singh, AD Mathews, TL Suman, AM Nayar, MR Marsh, B Kumar, R Sharma, AB Dinda","MDKJ Perera, AM Rahane, R Dravid, STR Binny, BJ Hodge, DH Yagnik, JP Faulkner, KK Cooper, S Sreesanth, Harmeet Singh, SK Trivedi",6,13,League,wickets,7.0,146.0,20.0,N
Delhi Daredevils,Sunrisers Hyderabad,2013-04-12,Delhi Daredevils,bat,Sunrisers Hyderabad,A Mishra,Feroz Shah Kotla,Delhi,"DA Warner, V Sehwag, DPMD Jayawardene, MC Juneja, J Botha, IK Pathan, KM Jadhav, M Morkel, S Nadeem, UT Yadav, S Kaul","PA Reddy, PA Patel, KC Sangakkara, GH Vihari, CL White, NLTC Perera, A Ashish Reddy, A Mishra, DW Steyn, I Sharma, Anand Rajan",6,14,League,wickets,3.0,115.0,20.0,N
Chennai Super Kings,Royal Challengers Bangalore,2013-04-13,Chennai Super Kings,field,Chennai Super Kings,RA Jadeja,"MA Chidambaram Stadium, Chepauk",Chennai,"MEK Hussey, M Vijay, SK Raina, S Badrinath, MS Dhoni, RA Jadeja, DJ Bravo, CH Morris, R Ashwin, DP Nannes, MM Sharma","CH Gayle, MA Agarwal, V Kohli, AB de Villiers, DT Christian, R Rampaul, KB Arun Karthik, J Syed Mohammad, R Vinay Kumar, M Kartik, RP Singh",6,15,League,runs,41.0,184.0,20.0,N
Mumbai Indians,Pune Warriors,2013-04-13,Mumbai Indians,bat,Mumbai Indians,RG Sharma,Wankhede Stadium,Mumbai,"RT Ponting, SR Tendulkar, KD Karthik, RG Sharma, KA Pollard, AT Rayudu, Harbhajan Singh, R Dhawan, MG Johnson, PP Ojha, SL Malinga","AJ Finch, RV Uthappa, LRPL Taylor, Yuvraj Singh, TL Suman, AD Mathews, MR Marsh, AM Nayar, B Kumar, R Sharma, AB Dinda",6,16,League,wickets,4.0,166.0,20.0,N
Rajasthan Royals,Kings XI Punjab,2013-04-14,Rajasthan Royals,field,Rajasthan Royals,JP Faulkner,Sawai Mansingh Stadium,Jaipur,"SR Watson, AM Rahane, R Dravid, STR Binny, BJ Hodge, SV Samson, JP Faulkner, KK Cooper, SK Trivedi, A Chandila, S Sreesanth","Mandeep Singh, AC Gilchrist, M Vohra, DJ Hussey, Gurkeerat Singh, R Sathish, Azhar Mahmood, PP Chawla, RJ Harris, P Kumar, P Awana",6,17,League,runs,48.0,181.0,20.0,N
Kolkata Knight Riders,Sunrisers Hyderabad,2013-04-14,Kolkata Knight Riders,bat,Kolkata Knight Riders,G Gambhir,Eden Gardens,Kolkata,"MS Bisla, G Gambhir, JH Kallis, EJG Morgan, YK Pathan, MK Tiwary, R Bhatia, LR Shukla, SMSM Senanayake, SP Narine, L Balaji","PA Patel, CL White, KC Sangakkara, DB Ravi Teja, NLTC Perera, A Ashish Reddy, KV Sharma, GH Vihari, A Mishra, DW Steyn, I Sharma",6,18,League,wickets,6.0,125.0,20.0,N
Chennai Super Kings,Pune Warriors,2013-04-15,Pune Warriors,bat,Pune Warriors,SPD Smith,"MA Chidambaram Stadium, Chepauk",Chennai,"S Anirudha, M Vijay, SK Raina, S Badrinath, RA Jadeja, MS Dhoni, DJ Bravo, JA Morkel, CH Morris, R Ashwin, DP Nannes","RV Uthappa, AJ Finch, LRPL Taylor, SPD Smith, MR Marsh, MK Pandey, AM Nayar, TL Suman, B Kumar, R Sharma, AB Dinda",6,19,League,runs,24.0,160.0,20.0,N
Kings XI Punjab,Kolkata Knight Riders,2013-04-16,Kolkata Knight Riders,field,Kings XI Punjab,MS Gony,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"AC Gilchrist, Mandeep Singh, M Vohra, DJ Hussey, DA Miller, Azhar Mahmood, Gurkeerat Singh, MS Gony, PP Chawla, P Kumar, P Awana","MS Bisla, G Gambhir, JH Kallis, EJG Morgan, MK Tiwary, YK Pathan, DB Das, R Bhatia, SMSM Senanayake, SP Narine, L Balaji",6,20,League,runs,4.0,158.0,20.0,N
Royal Challengers Bangalore,Delhi Daredevils,2013-04-16,Royal Challengers Bangalore,field,,V Kohli,M Chinnaswamy Stadium,Bangalore,"CH Gayle, KL Rahul, V Kohli, AB de Villiers, AB McDonald, KB Arun Karthik, J Syed Mohammad, R Vinay Kumar, R Rampaul, RP Singh, JD Unadkat","DA Warner, V Sehwag, MC Juneja, DPMD Jayawardene, BJ Rohrer, KM Jadhav, IK Pathan, M Morkel, S Nadeem, A Nehra, UT Yadav",6,21,League,tie,,153.0,20.0,Y
Rajasthan Royals,Mumbai Indians,2013-04-17,Rajasthan Royals,bat,Rajasthan Royals,AM Rahane,Sawai Mansingh Stadium,Jaipur,"SR Watson, AM Rahane, DH Yagnik, STR Binny, BJ Hodge, R Dravid, JP Faulkner, KK Cooper, AA Chavan, A Chandila, SK Trivedi","SR Tendulkar, RT Ponting, KD Karthik, RG Sharma, KA Pollard, AT Rayudu, R Dhawan, Harbhajan Singh, MG Johnson, SL Malinga, PP Ojha",6,22,League,runs,11.0,120.0,20.0,N
Pune Warriors,Sunrisers Hyderabad,2013-04-17,Pune Warriors,field,Sunrisers Hyderabad,A Mishra,Maharashtra Cricket Association Stadium,Pune,"RV Uthappa, AJ Finch, TL Suman, SPD Smith, AD Mathews, MR Marsh, AM Nayar, MK Pandey, B Kumar, R Sharma, AB Dinda","PA Patel, Q de Kock, GH Vihari, CL White, BB Samantray, KV Sharma, NLTC Perera, A Mishra, A Ashish Reddy, DW Steyn, I Sharma",6,23,League,runs,87.0,180.0,20.0,N
Delhi Daredevils,Chennai Super Kings,2013-04-18,Chennai Super Kings,bat,Chennai Super Kings,MEK Hussey,Feroz Shah Kotla,Delhi,"DA Warner, V Sehwag, MC Juneja, DPMD Jayawardene, BMAJ Mendis, KM Jadhav, IK Pathan, AB Agarkar, M Morkel, S Nadeem, UT Yadav","MEK Hussey, M Vijay, SK Raina, MS Dhoni, DJ Bravo, S Badrinath, RA Jadeja, JA Morkel, CH Morris, R Ashwin, MM Sharma",6,24,League,runs,86.0,170.0,20.0,N
Sunrisers Hyderabad,Kings XI Punjab,2013-04-19,Kings XI Punjab,bat,Sunrisers Hyderabad,GH Vihari,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"Q de Kock, PA Reddy, GH Vihari, CL White, BB Samantray, NLTC Perera, A Ashish Reddy, KV Sharma, A Mishra, DW Steyn, I Sharma","Mandeep Singh, AC Gilchrist, PC Valthaty, DJ Hussey, PP Chawla, Gurkeerat Singh, Azhar Mahmood, MS Gony, M Vohra, AD Mascarenhas, P Kumar",6,25,League,wickets,5.0,124.0,20.0,N
Kolkata Knight Riders,Chennai Super Kings,2013-04-20,Kolkata Knight Riders,bat,Chennai Super Kings,RA Jadeja,Eden Gardens,Kolkata,"G Gambhir, YK Pathan, JH Kallis, EJG Morgan, MK Tiwary, DB Das, R Bhatia, LR Shukla, SMSM Senanayake, SP Narine, L Balaji","MEK Hussey, R Ashwin, M Vijay, SK Raina, MS Dhoni, S Badrinath, RA Jadeja, DJ Bravo, JA Morkel, CH Morris, MM Sharma",6,26,League,wickets,4.0,120.0,20.0,N
Royal Challengers Bangalore,Rajasthan Royals,2013-04-20,Royal Challengers Bangalore,field,Royal Challengers Bangalore,R Vinay Kumar,M Chinnaswamy Stadium,Bangalore,"TM Dilshan, CH Gayle, V Kohli, AB de Villiers, SS Tiwary, KB Arun Karthik, R Rampaul, R Vinay Kumar, M Kartik, RP Singh, JD Unadkat","SR Watson, AM Rahane, R Dravid, STR Binny, BJ Hodge, DH Yagnik, JP Faulkner, A Chandila, S Sreesanth, SW Tait, SK Trivedi",6,27,League,wickets,7.0,118.0,20.0,N
Delhi Daredevils,Mumbai Indians,2013-04-21,Mumbai Indians,bat,Delhi Daredevils,V Sehwag,Feroz Shah Kotla,Delhi,"DPMD Jayawardene, V Sehwag, DA Warner, Y Venugopal Rao, KM Jadhav, RE van der Merwe, IK Pathan, AD Russell, AB Agarkar, S Nadeem, UT Yadav","DR Smith, SR Tendulkar, KD Karthik, RG Sharma, KA Pollard, AT Rayudu, RT Ponting, Harbhajan Singh, JJ Bumrah, MM Patel, SL Malinga",6,28,League,wickets,9.0,162.0,20.0,N
Kings XI Punjab,Pune Warriors,2013-04-21,Kings XI Punjab,field,Kings XI Punjab,DA Miller,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"AC Gilchrist, Mandeep Singh, Azhar Mahmood, M Vohra, DA Miller, DJ Hussey, Gurkeerat Singh, PP Chawla, MS Gony, P Kumar, P Awana","RV Uthappa, AJ Finch, Yuvraj Singh, SPD Smith, LJ Wright, AM Nayar, M Manhas, B Kumar, R Sharma, AB Dinda, BAW Mendis",6,29,League,wickets,7.0,186.0,20.0,N
Chennai Super Kings,Rajasthan Royals,2013-04-22,Rajasthan Royals,bat,Chennai Super Kings,MEK Hussey,"MA Chidambaram Stadium, Chepauk",Chennai,"M Vijay, MEK Hussey, SK Raina, MS Dhoni, RA Jadeja, DJ Bravo, CH Morris, S Badrinath, R Ashwin, JO Holder, MM Sharma","SR Watson, AM Rahane, DH Yagnik, R Dravid, STR Binny, BJ Hodge, JP Faulkner, KK Cooper, R Shukla, A Chandila, SK Trivedi",6,30,League,wickets,5.0,186.0,20.0,N
Delhi Daredevils,Kings XI Punjab,2013-04-23,Kings XI Punjab,field,Kings XI Punjab,Harmeet Singh,Feroz Shah Kotla,Delhi,"DPMD Jayawardene, V Sehwag, RE van der Merwe, DA Warner, MC Juneja, KM Jadhav, J Botha, IK Pathan, AB Agarkar, A Nehra, UT Yadav","AC Gilchrist, Mandeep Singh, LA Pomersbach, DA Miller, M Vohra, DJ Hussey, PP Chawla, P Kumar, Harmeet Singh, BA Bhatt, P Awana",6,31,League,runs,130.0,264.0,20.0,N
